Paper title,Link,Year,Citations,Mentioned definitions (put explicit terms and definitions),Mentioned methods to tackle harmful speech
Empowering NGOs in countering online hate messages,https://www.sciencedirect.com/science/article/abs/pii/S246869642100032X,2021,,,
Counterspeakers’ Perspectives: Unveiling Barriers and AI Needs in the Fight against Online Hate,https://maartensap.com/pdfs/mun2024counterspeakersPerspectives.pdf,2024,,,
Should Democracies Ban Hate Speech? Hate Speech Laws and Counterspeech,https://link.springer.com/article/10.1007/s10677-022-10336-2,2022,1,,
"The Shadowban Cycle: an autoethnography of pole dancing, nudity and censorship on Instagram",https://www.tandfonline.com/doi/full/10.1080/14680777.2021.1928259,2021,,,
Algorithmic Censorship by Social Platforms: Power and Resistance,https://link.springer.com/article/10.1007/s13347-020-00429-0,2020,,,
Speech Police: The Global Struggle to Govern the Internet,https://www.jstor.org/stable/j.ctv1fx4h8v,2019,,,
Is hate speech detection the solution the world wants?,https://www.pnas.org/doi/pdf/10.1073/pnas.2209384120,2023,,,
Specific characteristics of digital violence and digital crime,https://d1wqtxts1xzle7.cloudfront.net/87078471/0352-37132104016B-libre.pdf?1654521070=&response-content-disposition=inline%3B+filename%3DSpecific_characteristics_of_digital_viol.pdf&Expires=1709904654&Signature=XAB0Cr9qRLJdefAIqmsng1dgZQPWMaUEz3QE-m5B~JvoH1e1MuZTfRfVfXtOP3~TEKaSEDThyflv~yCUn2MaoQQM37p~qslOozTeo2sxdwNnduDZRAn36f3ONScZaZzx6lk4agq1vAN7SNiiqXyRrE2apBY7d~sru0w7WoSEndz-ynibDE8bzWqRtx5Cinz2B8Y2GqllKJ0bQeAiT6TMQRvh9IBT~8Tl-rhAhIu0qrlvf956-4QLafHWVdBgrY5Nn6jKCXSE6ffBfIkCm-WhfkFXGKGxE3pcIEwJKh2vZ-d8Db2orHWJY-fQxEdGP9dJQAUxO9HbbpnORP19A9WvfQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,2021,,,
A Research on Digital Violence in Social Media,https://www.igi-global.com/chapter/a-research-on-digital-violence-in-social-media/296089,2022,,,
Online Othering Exploring Digital Violence and Discrimination on the Web,https://link.springer.com/content/pdf/10.1007/978-3-030-12633-9.pdf,2019,,,
Embodied and entangled: Slow violence and harm via digital technologies,https://journals.sagepub.com/doi/abs/10.1177/2399654418791825?journalCode=epcb,2018,,,
Feminist strategies against digital violence: Embodying and politicizing the internet,https://journals.library.brocku.ca/index.php/SSJ/article/download/3417/3149,2023,,,
